Exchange,Type,WebSocket URL
poloniex,ws,"{'public': 'wss://ws.poloniex.com/ws/public', 'private': 'wss://ws.poloniex.com/ws/private'}"
probit,accounts,https://accounts.probit.com
probit,public,https://api.probit.com/api/exchange
probit,private,https://api.probit.com/api/exchange
probit,ws,wss://api.probit.com/api/exchange/v1/ws
tradeogre,rest,https://tradeogre.com/api/v1
tradeogre,ws,wss://tradeogre.com:8443
upbit,public,https://{hostname}
upbit,private,https://{hostname}
upbit,ws,wss://{hostname}/websocket/v1
vertex,v1,"{'archive': 'https://archive.prod.{hostname}/v1', 'gateway': 'https://gateway.prod.{hostname}/v1', 'trigger': 'https://trigger.prod.{hostname}/v1'}"
vertex,v2,"{'archive': 'https://archive.prod.{hostname}/v2', 'gateway': 'https://gateway.prod.{hostname}/v2'}"
vertex,ws,wss://gateway.prod.vertexprotocol.com/v1/subscribe
whitebit,v1,"{'public': 'https://whitebit.com/api/v1/public', 'private': 'https://whitebit.com/api/v1'}"
whitebit,v2,{'public': 'https://whitebit.com/api/v2/public'}
whitebit,v4,"{'public': 'https://whitebit.com/api/v4/public', 'private': 'https://whitebit.com/api/v4'}"
whitebit,ws,wss://api.whitebit.com/ws
woo,pub,https://api-pub.woox.io
woo,public,https://api.{hostname}
woo,private,https://api.{hostname}
woo,ws,"{'public': 'wss://wss.woox.io/ws/stream', 'private': 'wss://wss.woox.io/v2/ws/private/stream'}"
woofipro,public,https://api-evm.orderly.org
woofipro,private,https://api-evm.orderly.org
woofipro,ws,"{'public': 'wss://ws-evm.orderly.org/ws/stream', 'private': 'wss://ws-private-evm.orderly.org/v2/ws/private/stream'}"
xt,spot,https://sapi.xt.com
xt,linear,https://fapi.xt.com
xt,inverse,https://dapi.xt.com
xt,user,https://api.xt.com
xt,ws,"{'spot': 'wss://stream.xt.com', 'contract': 'wss://fstream.xt.com/ws'}"
