timestamp,time,symbol,bid,bidVolume,ask,askVolume,lastPrice,baseVolume,quoteVolume
1753460307886,16:18:27.886,ADA/USDT:USDT,0.7848,234.0,0.7849,205.2,0.785,3974984.0,
1753460308005,16:18:28.005,ADA/USDT:USDT,0.7848,234.0,0.7849,241.7,0.785,3974984.0,
1753460308106,16:18:28.106,ADA/USDT:USDT,0.7848,264.4,0.7849,198.5,0.785,3974984.0,
1753460308208,16:18:28.208,ADA/USDT:USDT,0.7849,325.5,0.785,324.5,0.785,3974984.0,
1753460308314,16:18:28.314,ADA/USDT:USDT,0.7849,338.5,0.785,25.9,0.785,3974984.0,
1753460308415,16:18:28.415,ADA/USDT:USDT,0.7849,239.8,0.785,217.3,0.785,3974984.0,
1753460308738,16:18:28.738,ADA/USDT:USDT,0.7849,239.8,0.785,217.2,0.785,3974984.0,
1753460308843,16:18:28.843,ADA/USDT:USDT,0.7849,168.9,0.785,217.2,0.785,3974984.0,
1753460308952,16:18:28.952,ADA/USDT:USDT,0.7849,277.4,0.785,70.2,0.785,3974984.0,
1753460309068,16:18:29.068,ADA/USDT:USDT,0.7849,268.2,0.785,4.1,0.7849,3974984.3,
1753460309169,16:18:29.169,ADA/USDT:USDT,0.7849,268.2,0.785,119.2,0.7849,3974984.3,
1753460309281,16:18:29.281,ADA/USDT:USDT,0.7849,263.3,0.785,143.7,0.7849,3974984.3,
1753460309389,16:18:29.389,ADA/USDT:USDT,0.7849,263.8,0.785,119.8,0.7849,3974984.3,
1753460309507,16:18:29.507,ADA/USDT:USDT,0.7849,389.3,0.785,119.8,0.7849,3974984.3,
1753460309610,16:18:29.610,ADA/USDT:USDT,0.7849,269.3,0.785,119.8,0.7849,3974984.3,
1753460309716,16:18:29.716,ADA/USDT:USDT,0.7849,153.6,0.785,452.2,0.7849,3974984.3,
1753460310245,16:18:30.245,ADA/USDT:USDT,0.7849,301.9,0.785,226.5,0.7849,3974984.3,
1753460310384,16:18:30.384,ADA/USDT:USDT,0.7849,286.0,0.785,251.0,0.7849,3974984.3,
1753460310513,16:18:30.513,ADA/USDT:USDT,0.7849,387.9,0.785,234.8,0.7849,3974984.3,
